0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
HOMME,De 35 à 49 ans,Célibataire,1 personne,NULL,MoinsDe100000Habitants,BourgogneFrancheComte,"Variété Française,Electronique,Pop / Rock",En travaillant ou en étudiant,NULL,Moins souvent,1 ou 2 concerts/festivals,Un ordinateur,1 à 3 fois par mois,Uniquement de façon légale,Moins souvent,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
HOMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Electronique,Pop / Rock","Dans les transports ou sur le chemin des études ou du travail,En voiture",Entre 2 et 3 heures / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Une enceinte ou une barre de son (connectées par un fil ou en Bluetooth),1 à 5 fois par semaine,NULL,1 à 5 fois par semaine,"Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 35 à 49 ans,Célibataire,1 personne,NULL,MoinsDe100000Habitants,CentreValDeLoire,"Variété Française,Musiques du monde,Classique",Au réveil ou avant de vous endormir,NULL,Moins souvent,NULL,Un poste de radio / un radioréveil,1 à 3 fois par mois,NULL,Moins souvent,
FEMME,De 50 à 64 ans,Couple,2 personnes,Aucun,MoinsDe100000Habitants,BourgogneFrancheComte,Variété Française,En voiture,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un autoradio,Tous les jours ou presque,NULL,1 à 3 fois par mois,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 50 à 64 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Dance,R&B","Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail,En voiture",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un autoradio,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Dance,Electronique,Metal,R&B,Soul,Musiques du monde,Pop / Rock,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 2 et 3 heures / jour,Plusieurs fois par jour,3 ou 4 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Jazz,Electronique,Musiques du monde,Pop / Rock,Classique","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Une chaîne Hifi,Tous les jours ou presque,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 35 à 49 ans,Célibataire,2 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,Dance,Electronique,Musiques du monde,Pop / Rock,Rap / Hip-Hop","En travaillant ou en étudiant,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 2 et 3 heures / jour,Plusieurs fois par jour,3 ou 4 concerts/festivals,"Une enceinte intelligente (que vous commandez à la voix, comme Amazon Echo ou Google Home)",Plusieurs fois par jour,Uniquement de façon légale,1 à 3 fois par mois,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 25 à 34 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,IleDeFrance,"Jazz,Dance,R&B,Soul,Reggae,Musiques du monde,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
