0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,AuvergneRhoneAlpes,"Jazz,R&B,Soul,Musiques du monde,Classique","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,Aucun,Une enceinte ou une barre de son (connectées par un fil ou en Bluetooth),Plusieurs fois par jour,NULL,Plusieurs fois par jour,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,CentreValDeLoire,"Variété Française,Jazz,Classique",En voiture,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Une chaîne Hifi,1 à 5 fois par semaine,NULL,1 à 3 fois par mois,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,CentreValDeLoire,"Variété Française,Pop / Rock,Classique",,Moins de 1 heure / jour,Tous les jours ou presque,3 ou 4 concerts/festivals,Une enceinte ou une barre de son (connectées par un fil ou en Bluetooth),Tous les jours ou presque,Uniquement de façon légale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 65 à plus,Couple,1 personne,NULL,MoinsDe100000Habitants,NordPasDeCalaisPicardie,Pop / Rock,,Entre 2 et 3 heures / jour,Tous les jours ou presque,3 ou 4 concerts/festivals,NULL,Plusieurs fois par jour,NULL,Plusieurs fois par jour,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,CentreValDeLoire,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,3 personnes,Aucun,PlusDe100000Habitants,NordPasDeCalaisPicardie,Variété Française,"En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,En voiture",NULL,1 à 5 fois par semaine,Aucun,Un écran de télévision,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,
FEMME,De 25 à 34 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Musiques du monde,Rap / Hip-Hop",En cuisinant ou pendant les tâches ménagères,Entre 2 et 3 heures / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Un smartphone,Plusieurs fois par jour,NULL,Tous les jours ou presque,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Variété Française,Musiques du monde,Classique","En cuisinant ou pendant les tâches ménagères,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 3 fois par mois,1 ou 2 concerts/festivals,Une chaîne Hifi,Tous les jours ou presque,NULL,Tous les jours ou presque,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
HOMME,De 50 à 64 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,"Variété Française,R&B,Musiques du monde,Pop / Rock,Classique","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,Une tablette,Plusieurs fois par jour,Uniquement de façon légale,Plusieurs fois par jour,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 15 à 24 ans,Enfant,2 personnes,Aucun,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Dance,Electronique,R&B","Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 5 fois par semaine,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Dance,Soul,Musiques du monde,Classique","En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,En voiture",Entre 2 et 3 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un écran de télévision,Plusieurs fois par jour,NULL,Tous les jours ou presque,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,PaysDeLaLoire,"Reggae,Musiques du monde,Classique","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,En voiture",Entre 2 et 3 heures / jour,Tous les jours ou presque,Aucun,Un poste de radio / un radioréveil,Tous les jours ou presque,Uniquement de façon légale,Tous les jours ou presque,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un écran de télévision,1 à 5 fois par semaine,NULL,Moins souvent,Des réseaux sociaux (Instagram / Facebook / Snapchat…)
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,Dance,R&B,Pop / Rock,Rap / Hip-Hop","En faisant du sport ou des activités récréatives,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,NULL,1 à 5 fois par semaine,Uniquement de façon légale,Jamais,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,IleDeFrance,Pop / Rock,"En travaillant ou en étudiant,En voiture",NULL,1 à 5 fois par semaine,Aucun,Une chaîne Hifi,Tous les jours ou presque,NULL,Moins souvent,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Jazz,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,"Une enceinte intelligente (que vous commandez à la voix, comme Amazon Echo ou Google Home)",1 à 5 fois par semaine,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 15 à 24 ans,Enfant,3 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Variété Française,R&B,Soul,Musiques du monde,Classique,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,NULL,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 15 à 24 ans,Célibataire,1 personne,NULL,MoinsDe100000Habitants,Bretagne,"Dance,Reggae","Au réveil ou avant de vous endormir,En voiture",NULL,Moins souvent,NULL,Une tablette,Plusieurs fois par jour,NULL,1 à 5 fois par semaine,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
HOMME,De 35 à 49 ans,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Dance,Metal,Musiques du monde,Pop / Rock,Classique",En voiture,Entre 1 et 2 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,Un autoradio,Tous les jours ou presque,Uniquement de façon légale,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 65 à plus,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,Reggae,Au réveil ou avant de vous endormir,Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,NULL,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,Bretagne,"Variété Française,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant",NULL,Moins souvent,NULL,Un poste de radio / un radioréveil,Plusieurs fois par jour,NULL,Tous les jours ou presque,
HOMME,De 15 à 24 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Classique,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En voiture",NULL,Moins souvent,3 ou 4 concerts/festivals,"Une enceinte intelligente (que vous commandez à la voix, comme Amazon Echo ou Google Home)",1 à 5 fois par semaine,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 3 fois par mois,"Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,IleDeFrance,"Variété Française,Pop / Rock,Classique","En travaillant ou en étudiant,En faisant du sport ou des activités récréatives",NULL,1 à 3 fois par mois,3 ou 4 concerts/festivals,Un ordinateur,1 à 5 fois par semaine,Uniquement de façon légale,1 à 5 fois par semaine,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 35 à 49 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,,En voiture,Moins de 1 heure / jour,Plusieurs fois par jour,Aucun,NULL,Moins souvent,NULL,1 à 5 fois par semaine,Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...)
HOMME,De 15 à 24 ans,Enfant,3 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Musiques du monde","Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Electronique,Rap / Hip-Hop","En travaillant ou en étudiant,Dans les transports ou sur le chemin des études ou du travail,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Uniquement de façon légale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,CentreValDeLoire,"Variété Française,Dance,Musiques du monde,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 3 fois par mois,NULL,Une chaîne Hifi,Tous les jours ou presque,Uniquement de façon légale,Jamais,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 35 à 49 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,Rap / Hip-Hop,"Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail",Moins de 1 heure / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Electronique,Reggae,Musiques du monde,Pop / Rock",En voiture,NULL,Moins souvent,NULL,NULL,Tous les jours ou presque,NULL,Jamais,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Dance,Musiques du monde","En cuisinant ou pendant les tâches ménagères,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,Tous les jours ou presque,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,IleDeFrance,"Variété Française,Jazz,Pop / Rock,Classique","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant",NULL,Moins souvent,NULL,Un poste de radio / un radioréveil,Plusieurs fois par jour,NULL,Moins souvent,
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,"Variété Française,R&B,Soul,Pop / Rock","En travaillant ou en étudiant,Sous la douche ou en vous préparant,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,Aucun,Un smartphone,Tous les jours ou presque,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Tous les jours ou presque,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AlsaceChampagneArdenneLo,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AuvergneRhoneAlpes,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Jazz,Classique","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,5 concerts/festivals ou plus,Une chaîne Hifi,Tous les jours ou presque,NULL,1 à 3 fois par mois,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 15 à 24 ans,Couple,1 personne,NULL,MoinsDe100000Habitants,Bretagne,"Musiques du monde,Pop / Rock,Rap / Hip-Hop","En travaillant ou en étudiant,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Plusieurs fois par jour,NULL,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,LanguedocRoussillonMidiP,Rap / Hip-Hop,"En travaillant ou en étudiant,Dans les transports ou sur le chemin des études ou du travail,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,NULL,NULL,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,BourgogneFrancheComte,"Variété Française,Reggae,Musiques du monde,Pop / Rock","En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 3 fois par mois,1 ou 2 concerts/festivals,Un autoradio,Tous les jours ou presque,NULL,1 à 5 fois par semaine,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Jazz,Soul,Reggae,Classique",En cuisinant ou pendant les tâches ménagères,NULL,Moins souvent,NULL,Un poste de radio / un radioréveil,1 à 3 fois par mois,NULL,Jamais,
HOMME,De 15 à 24 ans,Enfant,2 personnes,Aucun,PlusDe100000Habitants,Normandie,"Metal,R&B,Musiques du monde,Pop / Rock,Rap / Hip-Hop","Dans les transports ou sur le chemin des études ou du travail,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un poste de radio / un radioréveil,Plusieurs fois par jour,Uniquement de façon légale,1 à 3 fois par mois,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,PaysDeLaLoire,"Variété Française,Jazz,Pop / Rock","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,Une chaîne Hifi,1 à 5 fois par semaine,NULL,Tous les jours ou presque,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Musiques du monde,Pop / Rock,Classique",,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un ordinateur,1 à 5 fois par semaine,Uniquement de façon légale,1 à 5 fois par semaine,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,R&B",En voiture,NULL,1 à 3 fois par mois,NULL,NULL,1 à 3 fois par mois,NULL,Jamais,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,Variété Française,En voiture,NULL,1 à 5 fois par semaine,NULL,Un smartphone,Tous les jours ou presque,Uniquement de façon légale,Moins souvent,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",NULL,Moins souvent,Aucun,NULL,Plusieurs fois par jour,NULL,Plusieurs fois par jour,
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,R&B,Soul,Pop / Rock",En cuisinant ou pendant les tâches ménagères,Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,NULL,Tous les jours ou presque,NULL,Tous les jours ou presque,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Jazz,Electronique,Classique",En cuisinant ou pendant les tâches ménagères,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,NULL,1 à 5 fois par semaine,NULL,Moins souvent,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Jazz,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,En voiture",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Une chaîne Hifi,Plusieurs fois par jour,NULL,Tous les jours ou presque,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,MoinsDe100000Habitants,AuvergneRhoneAlpes,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,"Jazz,Classique",,NULL,1 à 3 fois par mois,3 ou 4 concerts/festivals,Une chaîne Hifi,1 à 3 fois par mois,Uniquement de façon légale,Jamais,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,AuvergneRhoneAlpes,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Pop / Rock",En cuisinant ou pendant les tâches ménagères,NULL,Moins souvent,Aucun,NULL,Plusieurs fois par jour,NULL,Tous les jours ou presque,
FEMME,De 25 à 34 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,R&B,Soul,Reggae,Musiques du monde","En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Un autoradio,Plusieurs fois par jour,Uniquement de façon légale,Plusieurs fois par jour,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,ProvenceAlpesCoteDAzur,"Variété Française,Musiques du monde,Pop / Rock",En cuisinant ou pendant les tâches ménagères,NULL,1 à 3 fois par mois,5 concerts/festivals ou plus,Un poste de radio / un radioréveil,Moins souvent,Uniquement de façon légale,Moins souvent,
HOMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,AlsaceChampagneArdenneLo,"Variété Française,Musiques du monde,Classique",,NULL,1 à 5 fois par semaine,NULL,"D’autres appareils, lesquels :",1 à 5 fois par semaine,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Jamais,"Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
HOMME,De 50 à 64 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,Musiques du monde,Pop / Rock","En travaillant ou en étudiant,En voiture",NULL,1 à 5 fois par semaine,Aucun,NULL,Tous les jours ou presque,NULL,Moins souvent,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
FEMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,PaysDeLaLoire,"Variété Française,R&B,Soul,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,Aucun,Un ordinateur,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 15 à 24 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,BourgogneFrancheComte,"Variété Française,Dance,Electronique,Musiques du monde,Rap / Hip-Hop","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 3 et 4 heures / jour,Plusieurs fois par jour,5 concerts/festivals ou plus,Une tablette,Plusieurs fois par jour,Uniquement de façon légale,Plusieurs fois par jour,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 15 à 24 ans,Enfant,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Dance,R&B,Musiques du monde,Pop / Rock","Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 2 et 3 heures / jour,Plusieurs fois par jour,Aucun,Un smartphone,Plusieurs fois par jour,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,Plusieurs fois par jour,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
